Date,Open,Close
2008-09-30,0.11,0.11
2008-09-29,0.11,0.11
2008-09-26,0.11,0.11
2008-09-25,0.11,0.11
2008-09-24,0.11,0.11
2008-09-23,0.11,0.11
2008-09-22,0.11,0.11
2008-09-19,0.11,0.11
2008-09-18,0.11,0.11
2008-09-17,0.27,0.11
2008-09-16,0.22,0.27
2008-09-15,0.89,0.23
2008-09-12,7.3,10.5
2008-09-11,7.7,9.74
2008-09-10,8.23,8.55
2008-09-09,10.69,8.98
2008-09-08,16.25,12.65
2008-09-05,15.8,15.71
2008-09-04,15.64,16.1
2008-09-03,15.79,16.094
2008-09-02,16.5,15.7301
2008-08-29,15.63,15.99
2008-08-28,15.3699,15.8
2008-08-27,14.23,14.95
2008-08-26,13.95,14.15
2008-08-25,13.95,14.05
2008-08-22,12.5,14.48
2008-08-21,12.48,12.07
2008-08-20,12.3,12.48
2008-08-20,12.3,12.48
2008-08-19,14.07,12.59
2008-08-18,14.55,14.5
2008-08-15,14.85,14.6
2008-08-14,14.4,14.67
2008-08-13,14.69,14.4
2008-08-12,15.05,14.71
2008-08-11,15.46,15.3
2008-08-08,15.0,15.34
2008-08-07,15.18,14.95
2008-08-06,15.05,15.34
2008-08-05,14.7,15.46
2008-08-04,14.82,14.54
2008-08-01,14.4,15.15
2008-07-31,13.98,14.2399
2008-07-30,13.86,14.15
2008-07-29,13.02,13.25
2008-07-28,14.11,13.2
2008-07-25,15.25,14.2
2008-07-24,16.0,15.19
2008-07-23,15.01,16.05
2008-07-22,15.73,15.0
2008-07-21,13.75,14.4
2008-07-18,13.3,13.25
2008-07-17,12.68,13.21
2008-07-16,11.6,12.09
2008-07-15,12.0,11.465
2008-07-14,13.66,11.77
2008-07-11,13.1,13.08
2008-07-10,14.0,13.55
2008-07-09,15.66,15.36
2008-07-08,15.62,15.82
2008-07-07,16.44,15.85
2008-07-03,16.5,16.51
2008-07-03,16.5,16.51
2008-07-02,15.72,16.54
2008-07-01,16.31,15.82
2008-06-30,16.4,16.76
2008-06-27,16.7,16.65
2008-06-26,17.29,17.0
2008-06-25,16.8,17.36
2008-06-24,16.49,16.77
2008-06-23,16.78,16.74
2008-06-20,16.9,16.75
2008-06-19,17.45,17.25
